,Position,Oral,Written,Race,Combine,Class
0,Captain,89.52,87,1,81.932,1
1,Captain,71.43,87,1,80.876,1
1,Captain,73.33,81,1,76.6,1
3,Captain,80.83,71,1,73.732,1
4,Captain,68.57,79,1,73.332,1
1,Captain,76.19,82,1,79.676,1
6,Captain,68.57,76,1,72.232,1
2,Captain,70.0,84,1,78.4,1
6,Lieutenant,67.62,75,1,72.2,1
9,Captain,77.5,67,1,71.268,1
10,Captain,80.0,62,1,70.068,1
10,Captain,71.43,68,1,70.068,1
5,Captain,79.05,74,1,76.02,1
13,Captain,67.62,72,1,69.192,1
14,Captain,69.17,68,1,69.1,1
6,Captain,82.38,70,1,74.952,1
16,Captain,65.83,68,1,68.068,1
16,Captain,62.38,71,1,67.332,1
8,Captain,68.57,74,1,71.828,1
19,Captain,73.33,57,1,65.5,1
20,Captain,52.92,75,1,65.5,1
11,Captain,70.95,70,1,70.38,1
22,Captain,57.14,69,1,62.768,0
22,Captain,70.95,57,1,62.428,0
24,Captain,62.5,61,1,61.068,0
25,Captain,62.5,61,1,61.068,0
26,Captain,55.83,71,1,61.068,0
13,Captain,60.48,75,0,69.192,0
26,Captain,53.75,69,1,60.4,0
16,Captain,52.38,77,0,67.152,0
17,Captain,67.14,65,0,65.856,0
31,Captain,52.38,61,1,57.7,0
19,Captain,58.57,65,0,62.428,0
33,Captain,44.17,62,1,57.132,0
22,Captain,67.62,56,1,60.648,0
23,Captain,57.14,61,1,59.456,0
25,Captain,70.48,50,1,58.192,0
27,Captain,42.86,67,1,57.344,0
38,Captain,49.58,50,1,50.568,0
28,Captain,60.0,53,1,55.8,0
29,Captain,54.76,49,0,51.304,0
39,Lieutenant,84.29,86,1,80.876,1
42,Lieutenant,80.0,81,1,78.124,1
43,Lieutenant,70.0,86,1,76.9,1
43,Lieutenant,78.57,79,1,76.448,1
45,Lieutenant,71.43,81,1,76.448,1
46,Lieutenant,67.14,86,1,75.968,1
47,Lieutenant,72.5,79,1,75.724,1
47,Lieutenant,65.83,83,1,75.724,1
49,Lieutenant,57.92,87,1,74.6,1
50,Lieutenant,60.48,86,1,74.6,1
51,Lieutenant,60.83,79,1,72.2,1
51,Lieutenant,67.14,75,1,71.828,1
53,Lieutenant,55.24,83,1,70.38,1
36,Lieutenant,77.5,76,0,76.6,1
37,Lieutenant,61.25,86,0,76.1,1
42,Lieutenant,80.42,73,1,75.968,1
57,Lieutenant,68.33,72,1,69.632,1
58,Lieutenant,57.5,77,1,69.132,1
58,Lieutenant,80.0,59,1,68.2,1
46,Lieutenant,65.83,80,1,74.332,1
61,Lieutenant,70.48,65,1,67.232,1
47,Lieutenant,70.83,74,1,72.732,1
63,Lieutenant,60.0,71,1,67.152,1
49,Lieutenant,89.52,59,1,72.232,1
63,Lieutenant,63.75,67,1,67.068,1
66,Lieutenant,65.83,66,1,66.3,1
50,Lieutenant,55.0,82,0,71.2,1
51,Lieutenant,69.17,72,1,70.868,1
69,Lieutenant,58.57,68,1,65.168,1
70,Lieutenant,54.58,73,1,65.168,1
53,Lieutenant,53.75,82,0,70.7,1
70,Lieutenant,70.0,59,1,63.668,1
73,Lieutenant,67.14,61,1,62.896,1
74,Lieutenant,63.33,62,1,62.868,1
75,Lieutenant,58.33,68,1,62.1,0
55,Lieutenant,70.83,68,1,69.132,0
75,Lieutenant,67.14,59,1,60.9,0
78,Lieutenant,55.24,71,1,60.9,0
79,Lieutenant,46.25,74,1,60.7,0
57,Lieutenant,62.5,72,1,68.2,0
81,Lieutenant,48.33,73,1,60.648,0
59,Lieutenant,70.83,65,1,67.332,0
81,Lieutenant,58.33,62,1,60.4,0
84,Lieutenant,70.95,53,1,60.032,0
63,Lieutenant,56.25,73,1,66.3,0
86,Lieutenant,52.08,68,1,59.3,0
64,Lieutenant,66.25,65,1,65.5,0
88,Lieutenant,45.42,69,1,58.192,0
67,Lieutenant,57.5,70,1,65.0,0
68,Lieutenant,69.17,60,1,63.668,0
71,Lieutenant,51.67,71,1,63.268,0
89,Lieutenant,63.33,49,1,57.7,0
74,Lieutenant,50.42,71,0,62.768,0
94,Lieutenant,52.38,59,1,57.344,0
75,Lieutenant,56.67,64,1,61.068,0
78,Lieutenant,56.25,64,1,60.9,0
79,Lieutenant,42.5,73,1,60.8,0
80,Lieutenant,51.25,67,1,60.7,0
82,Lieutenant,55.0,64,0,60.4,0
83,Lieutenant,51.25,66,1,60.1,0
101,Lieutenant,44.58,60,1,56.5,0
101,Lieutenant,55.83,55,1,56.5,0
85,Lieutenant,46.25,68,1,59.3,0
88,Lieutenant,60.83,58,1,59.132,0
105,Lieutenant,53.81,50,1,55.8,0
106,Lieutenant,46.25,56,1,54.732,0
107,Lieutenant,42.5,59,1,54.432,0
90,Lieutenant,44.17,66,1,57.268,0
107,Lieutenant,42.86,58,1,54.132,0
92,Lieutenant,55.83,58,0,57.132,0
111,Lieutenant,51.67,50,1,54.132,0
98,Lieutenant,58.75,55,1,56.5,0
103,Lieutenant,40.83,64,1,54.732,0
107,Lieutenant,52.08,56,1,54.432,0
108,Lieutenant,48.33,58,1,54.132,0
109,Lieutenant,52.92,49,1,50.568,0
112,Lieutenant,45.83,46,1,45.932,0
