Position,Oral,Written,Race,Combine,Class
Captain,89.52,95,W,92.80799999999999,1
Captain,80.0,95,W,89.0,1
Captain,82.38,87,W,85.152,1
Captain,88.57,76,W,81.028,1
Captain,76.19,84,W,80.876,1
Captain,76.19,82,H,79.676,1
Captain,76.19,82,W,79.676,1
Captain,70.0,84,H,78.4,1
Captain,73.81,81,W,78.124,1
Captain,84.29,72,W,76.916,1
Captain,87.62,69,W,76.44800000000001,1
Captain,80.0,74,W,76.4,1
Captain,79.05,74,H,76.02,1
Captain,73.81,77,W,75.72399999999999,1
Captain,76.67,74,W,75.068,1
Captain,82.38,70,B,74.952,1
Captain,73.33,74,W,73.732,1
Captain,70.0,76,W,73.6,1
Captain,68.57,74,B,71.828,1
Captain,82.38,64,W,71.352,1
Captain,56.67,81,W,71.268,1
Captain,70.95,70,B,70.38,1
Captain,62.38,75,W,69.952,0
Captain,78.57,64,W,69.828,0
Captain,71.43,68,W,69.372,0
Captain,71.43,68,W,69.372,0
Captain,59.05,76,W,69.22,0
Captain,60.48,75,H,69.192,0
Captain,57.14,75,W,67.85600000000001,0
Captain,52.38,77,B,67.152,0
Captain,67.14,65,H,65.85600000000001,0
Captain,55.24,68,W,62.896,0
Captain,58.57,65,H,62.428000000000004,0
Captain,48.57,69,W,60.828,0
Captain,67.62,56,B,60.648,0
Captain,57.14,61,H,59.456,0
Captain,70.48,50,B,58.192,0
Captain,42.86,67,H,57.343999999999994,0
Captain,53.81,58,W,56.324,0
Captain,60.0,53,B,55.8,0
Captain,54.76,49,B,51.303999999999995,0
Lieutenant,88.75,91,W,90.1,1
Lieutenant,87.5,87,W,87.2,1
Lieutenant,77.5,91,W,85.6,1
Lieutenant,85.0,84,W,84.4,1
Lieutenant,80.0,87,W,84.2,1
Lieutenant,73.75,91,W,84.1,1
Lieutenant,80.83,84,W,82.73200000000001,1
Lieutenant,73.33,89,W,82.73200000000001,1
Lieutenant,63.75,95,W,82.5,1
Lieutenant,68.33,91,W,81.932,1
Lieutenant,69.58,86,W,79.432,1
Lieutenant,73.75,81,W,78.1,1
Lieutenant,58.75,89,W,76.9,1
Lieutenant,77.5,76,B,76.6,1
Lieutenant,61.25,86,B,76.1,1
Lieutenant,80.42,73,B,75.968,1
Lieutenant,74.17,77,W,75.868,1
Lieutenant,63.33,83,W,75.132,1
Lieutenant,87.5,66,W,74.6,1
Lieutenant,65.83,80,B,74.332,1
Lieutenant,78.33,70,W,73.332,1
Lieutenant,70.83,74,B,72.732,1
Lieutenant,66.67,76,W,72.268,1
Lieutenant,92.08,59,B,72.232,1
Lieutenant,72.5,72,W,72.2,1
Lieutenant,73.33,71,W,71.932,1
Lieutenant,55.0,82,H,71.2,1
Lieutenant,69.17,72,H,70.868,1
Lieutenant,65.83,74,W,70.732,1
Lieutenant,58.33,79,W,70.732,1
Lieutenant,53.75,82,H,70.7,1
Lieutenant,77.5,66,W,70.6,1
Lieutenant,73.75,68,W,70.3,1
Lieutenant,71.67,69,W,70.068,1
Lieutenant,64.58,73,W,69.632,0
Lieutenant,70.83,68,H,69.132,0
Lieutenant,73.75,66,W,69.1,0
Lieutenant,58.75,76,W,69.1,0
Lieutenant,51.25,80,W,68.5,0
Lieutenant,62.5,72,H,68.2,0
Lieutenant,51.67,79,W,68.068,0
Lieutenant,70.83,65,B,67.332,0
Lieutenant,64.58,69,W,67.232,0
Lieutenant,79.17,59,W,67.068,0
Lieutenant,56.25,73,H,66.3,0
Lieutenant,55.0,73,W,65.8,0
Lieutenant,66.25,65,B,65.5,0
Lieutenant,50.42,75,W,65.168,0
Lieutenant,57.5,70,H,65.0,0
Lieutenant,69.17,60,B,63.668,0
Lieutenant,51.67,71,H,63.268,0
Lieutenant,71.67,57,W,62.868,0
Lieutenant,50.42,71,H,62.768,0
Lieutenant,56.25,66,W,62.1,0
Lieutenant,56.67,64,B,61.068000000000005,0
Lieutenant,56.25,64,B,60.9,0
Lieutenant,42.5,73,H,60.8,0
Lieutenant,51.25,67,H,60.7,0
Lieutenant,55.0,64,B,60.4,0
Lieutenant,51.25,66,B,60.1,0
Lieutenant,49.58,67,W,60.032,0
Lieutenant,60.0,60,W,60.0,0
Lieutenant,46.25,68,H,59.3,0
Lieutenant,60.83,58,B,59.132,0
Lieutenant,57.92,58,W,57.968,0
Lieutenant,51.25,62,W,57.7,0
Lieutenant,44.58,66,W,57.431999999999995,0
Lieutenant,44.17,66,H,57.268,0
Lieutenant,45.42,65,W,57.168,0
Lieutenant,55.83,58,B,57.132,0
Lieutenant,54.58,58,W,56.632,0
Lieutenant,58.75,55,B,56.5,0
Lieutenant,40.83,64,H,54.732,0
Lieutenant,52.08,56,B,54.431999999999995,0
Lieutenant,48.33,58,H,54.132,0
Lieutenant,52.92,49,B,50.568000000000005,0
Lieutenant,45.83,46,B,45.931999999999995,0
